,x,s,result
0,1.764052345967664,1,1
1,0.4001572083672233,0,1
2,0.9787379841057392,0,1
3,2.240893199201458,1,1
4,1.8675579901499675,0,1
5,-0.977277879876411,0,0
6,0.9500884175255894,0,1
7,-0.1513572082976979,0,0
8,-0.10321885179355784,0,0
9,0.41059850193837233,1,1
10,0.144043571160878,0,1
11,1.454273506962975,0,1
12,0.7610377251469934,0,0
13,0.12167501649282841,0,1
14,0.44386323274542566,1,1
15,0.33367432737426683,0,1
16,1.4940790731576061,0,1
17,-0.20515826376580087,0,0
18,0.31306770165090136,0,1
19,-0.8540957393017248,0,0
20,-2.5529898158340787,0,0
21,0.6536185954403606,0,1
22,0.8644361988595057,1,1
23,-0.7421650204064419,1,0
24,2.2697546239876076,0,1
25,-1.4543656745987648,0,0
26,0.04575851730144607,1,0
27,-0.1871838500258336,1,1
28,1.5327792143584575,1,1
29,1.469358769900285,0,1
30,0.1549474256969163,1,1
31,0.37816251960217356,1,1
32,-0.8877857476301128,1,0
33,-1.980796468223927,0,0
34,-0.3479121493261526,0,0
35,0.15634896910398005,0,1
36,1.2302906807277207,1,1
37,1.2023798487844113,1,1
38,-0.3873268174079523,1,0
39,-0.30230275057533557,1,1
40,-1.0485529650670926,0,0
41,-1.4200179371789752,0,0
42,-1.7062701906250126,1,0
43,1.9507753952317897,0,1
44,-0.5096521817516535,0,0
45,-0.4380743016111864,0,1
46,-1.2527953600499262,1,1
47,0.7774903558319101,1,1
48,-1.6138978475579515,1,0
49,-0.2127402802139687,0,1
50,-0.8954665611936756,1,0
51,0.386902497859262,0,1
52,-0.510805137568873,0,0
53,-1.180632184122412,0,0
54,-0.028182228338654868,0,1
55,0.42833187053041766,1,1
56,0.06651722238316789,1,1
57,0.3024718977397814,0,1
58,-0.6343220936809636,0,0
59,-0.3627411659871381,0,1
60,-0.672460447775951,1,0
61,-0.3595531615405413,0,0
62,-0.813146282044454,0,0
63,-1.7262826023316769,0,0
64,0.17742614225375283,1,0
65,-0.4017809362082619,1,1
66,-1.6301983469660446,0,0
67,0.4627822555257742,1,1
68,-0.9072983643832422,0,0
69,0.05194539579613895,0,0
70,0.7290905621775369,1,1
71,0.12898291075741067,1,0
72,1.1394006845433007,1,1
73,-1.2348258203536526,1,0
74,0.402341641177549,0,0
75,-0.6848100909403132,0,0
76,-0.8707971491818818,0,0
77,-0.5788496647644155,0,0
78,-0.31155253212737266,0,1
79,0.05616534222974544,1,1
80,-1.1651498407833565,1,0
81,0.9008264869541871,0,1
82,0.46566243973045984,0,1
83,-1.5362436862772237,0,0
84,1.4882521937955997,1,1
85,1.8958891760305832,0,1
86,1.1787795711596507,0,1
87,-0.17992483581235091,1,1
88,-1.0707526215105425,0,0
89,1.0544517269311366,0,1
90,-0.40317694697317963,1,0
91,1.2224450703824274,0,1
92,0.2082749780768603,0,1
93,0.9766390364837128,1,1
94,0.3563663971744019,1,1
95,0.7065731681919482,0,1
96,0.010500020720820478,0,1
97,1.7858704939058352,1,1
98,0.12691209270361992,0,1
99,0.40198936344470165,1,0
100,1.8831506970562544,1,1
101,-1.3477590611424464,1,0
102,-1.2704849984857336,1,0
103,0.9693967081580112,0,1
104,-1.17312340511416,0,0
105,1.9436211856492926,1,1
106,-0.41361898075974735,1,0
107,-0.7474548114407578,0,0
108,1.9229420264803847,0,1
109,1.4805147914344243,1,1
110,1.8675589604265699,0,1
111,0.9060446582753853,0,0
112,-0.8612256850547025,1,0
113,1.9100649530990337,1,1
114,-0.2680033709513804,0,0
115,0.8024563957963952,1,1
116,0.947251967773748,1,1
117,-0.1550100930908342,0,1
118,0.6140793703460803,1,1
119,0.9222066715665268,0,1
120,0.37642553115562943,1,1
121,-1.0994007905841945,0,0
122,0.298238174206056,1,1
123,1.3263858966870303,0,1
124,-0.6945678597313655,1,1
125,-0.14963454032767076,1,1
